brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Other,Navigator L Reserve,2019,3.5,V6,10-speed auto,Gasoline,black,67073,Damage reported,47999
Other,Ghibli S Q4,2015,3.0,V6,8-speed auto,Gasoline,white,28700,,24900
Tesla,Model X Base,2023,0.0,,automatic,,black,8200,None reported,93999
Mercedes-Benz,AMG G 63 Base,2018,5.5,V8,automatic,Gasoline,grey,41000,None reported,108900
Ford,Expedition Limited,2018,3.5,,automatic,Gasoline,silver,98995,None reported,34998
Volkswagen,Routan SE,2012,3.6,V6,6-speed auto,Gasoline,black,123815,None reported,5000
Toyota,Highlander XLE,2020,3.5,V6,8-speed auto,Gasoline,black,61341,Damage reported,34084
Honda,Civic LX,2016,2.0,4Cyl,automatic,Gasoline,black,96473,None reported,15599
Jeep,Wrangler Unlimited Sahara,2017,3.6,V6,automatic,Gasoline,black,66107,None reported,31331
Land Rover,Range Rover Supercharged,2008,4.2,V8,6-speed auto,Gasoline,black,114287,None reported,9900
Acura,ILX 2.0L w/Premium Package,2015,2.0,4Cyl,automatic,Gasoline,N/A,75000,None reported,14500
BMW,M6 Base,2016,4.4,V8,7-speed auto,Gasoline,N/A,45800,,36800
Other,limited_model,2021,0.0,,automatic,,grey,12172,None reported,35999
BMW,limited_model,2016,3.0,I6,8-speed auto,Gasoline,black,70582,Damage reported,35000
Porsche,Cayman S,2014,3.4,H6,7-speed auto,Gasoline,black,33088,None reported,49750
Other,limited_model,2021,2.5,4Cyl,automatic,Hybrid,silver,1850,None reported,49000
Cadillac,limited_model,2008,4.6,V8,automatic,Gasoline,white,94155,None reported,10500
Cadillac,ATS 3.6L Luxury,2016,3.6,V6,8-speed auto,Gasoline,red,25000,None reported,17999
GMC,Sierra 1500 SLT,2016,5.3,V8,8-speed auto,Gasoline,grey,99500,None reported,27995
INFINITI,G37 x,2009,3.7,V6,automatic,Gasoline,blue,158564,None reported,8750
Ford,Transit-350 XLT,2023,3.5,V6,10-speed auto,Gasoline,black,20000,None reported,78499
Cadillac,XTS Luxury,2018,3.6,V6,6-speed auto,Gasoline,silver,46711,Damage reported,20850
Nissan,NV Passenger NV3500 HD SL V8,2017,5.6,V8,automatic,Gasoline,black,46496,None reported,41000
Mercedes-Benz,GLS 450 Base 4MATIC,2019,3.0,V6,9-speed auto,Gasoline,silver,19800,None reported,53800
Toyota,Land Cruiser Base,2008,5.7,V8,6-speed auto,Gasoline,black,175000,Damage reported,37900
Toyota,Land Cruiser Base,2016,5.7,V8,8-speed auto,Gasoline,white,61500,None reported,63500
RAM,limited_model,2016,3.6,V6,6-speed auto,Gasoline,black,49750,None reported,65000
Other,limited_model,2007,5.0,V10,automatic,Gasoline,N/A,38800,None reported,100000
Other,MKZ Base,2011,3.5,V6,automatic,Gasoline,black,83765,None reported,8995
Mercedes-Benz,limited_model,2023,0.0,,automatic,,grey,7388,None reported,105500
Other,Huracan Tecnica Coupe,2023,5.2,V10,automatic,Gasoline,N/A,278,None reported,359991
Other,Romeo Giulia Quadrifoglio,2022,2.9,V6,8-speed auto,Gasoline,N/A,1966,None reported,75900
Chevrolet,limited_model,2021,1.2,3Cyl,automatic,Gasoline,blue,50648,None reported,23995
Toyota,Land Cruiser Base,1993,,,automatic,Diesel,white,231500,None reported,29500
Other,Urus Base,2021,4.0,V8,8-speed auto,Gasoline,black,13692,None reported,257000
INFINITI,G37 x,2013,3.7,V6,automatic,Gasoline,white,60058,Damage reported,15000
Other,limited_model,2017,3.0,V6,8-speed auto,Gasoline,black,54423,None reported,33950
Toyota,Highlander Limited,2022,3.5,V6,8-speed auto,Gasoline,N/A,24001,None reported,47498
Nissan,Armada SL,2022,5.6,,automatic,Gasoline,white,14735,None reported,50998
Audi,limited_model,2023,2.0,,automatic,Hybrid,black,2425,None reported,42998
Ford,Shelby GT500 Base,2022,5.2,V8,automatic,Gasoline,grey,2050,None reported,94999
Other,Navigator L Reserve,2019,3.5,V6,10-speed auto,Gasoline,silver,64855,None reported,46995
Mercedes-Benz,EQS 450+ Base,2022,0.0,,automatic,,white,16238,None reported,62479
RAM,1500 Laramie,2022,5.7,V8,automatic,Gasoline,blue,18051,None reported,47995
Other,Town Car Base,2004,4.6,V8,automatic,Gasoline,black,36524,None reported,14900
Acura,limited_model,2022,2.0,,automatic,Gasoline,silver,14896,None reported,39998
Toyota,Camry Hybrid LE,2022,2.5,4Cyl,automatic,Hybrid,black,14048,None reported,29999
Honda,CR-V EX,2003,2.4,4Cyl,6-speed manual,Gasoline,black,224000,None reported,3900
Mercedes-Benz,E-Class E 550,2014,4.7,V8,automatic,Gasoline,grey,80581,None reported,26000
Mazda,MX-5 Miata Grand Touring,2007,2.0,4Cyl,6-speed manual,Gasoline,red,81400,Damage reported,11000
Porsche,718 Boxster Base,2019,2.0,4Cyl,7-speed auto,Gasoline,grey,6700,None reported,63000
Ford,Transit-350 XLT,2015,3.7,V6,6-speed auto,Gasoline,silver,143000,None reported,22500
Kia,limited_model,2017,2.0,4Cyl,6-speed auto,Gasoline,black,87842,None reported,18688
INFINITI,limited_model,2010,3.7,V6,6-speed manual,Gasoline,white,116451,None reported,16500
Nissan,limited_model,2019,5.6,V8,7-speed auto,Gasoline,red,53677,None reported,27900
Audi,limited_model,2021,2.9,V6,8-speed auto,Hybrid,grey,12000,None reported,77500
Land Rover,Discovery HSE,2019,3.0,,automatic,Gasoline,white,20034,None reported,43998
Ford,Transit-350 XLT,2020,2.0,4Cyl,automatic,Diesel,black,32000,None reported,68000
INFINITI,limited_model,2014,3.7,V6,7-speed auto,Gasoline,black,70312,None reported,19995
Jeep,Gladiator Rubicon,2022,3.6,V6,automatic,Gasoline,white,8794,None reported,54000
Other,limited_model,2010,3.5,V6,6-speed auto,Gasoline,black,156000,Damage reported,5900
Porsche,911 Carrera 4S,2020,3.0,H6,6-speed manual,Gasoline,red,25568,None reported,134999
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,3.0,V6,automatic,Gasoline,grey,67100,Damage reported,34250
